Config,Method,BestQ,Source
10_100,NS-P,0.2975,Original paper Excel Sheet1 B10:E10
10_100,PSP,0.2686,Original paper Excel Sheet1 B10:E10
10_100,GCP,0.2996,Original paper Excel Sheet1 B10:E10
10_100,GDP,0.2748,Original paper Excel Sheet1 B10:E10
10_130,NS-P,0.3894,Original paper Excel Sheet1 V10:Y10
10_130,PSP,0.3282,Original paper Excel Sheet1 V10:Y10
10_130,GCP,0.3550,Original paper Excel Sheet1 V10:Y10
10_130,GDP,0.3363,Original paper Excel Sheet1 V10:Y10
10_150,NS-P,0.3023,Original paper Excel Sheet1 B27:E27
10_150,PSP,0.2749,Original paper Excel Sheet1 B27:E27
10_150,GCP,0.2868,Original paper Excel Sheet1 B27:E27
10_150,GDP,0.2847,Original paper Excel Sheet1 B27:E27
10_180,NS-P,0.2976,Original paper Excel Sheet1 V27:Y27
10_180,PSP,0.2774,Original paper Excel Sheet1 V27:Y27
10_180,GCP,0.2955,Original paper Excel Sheet1 V27:Y27
10_180,GDP,0.2896,Original paper Excel Sheet1 V27:Y27
5_130,NS-P,0.2150,Original paper Excel Sheet1 (2) B10:E10
5_130,PSP,0.1945,Original paper Excel Sheet1 (2) B10:E10
5_130,GCP,0.2304,Original paper Excel Sheet1 (2) B10:E10
5_130,GDP,0.2393,Original paper Excel Sheet1 (2) B10:E10
15_130,NS-P,0.3072,Original paper Excel Sheet1 (2) B27:E27
15_130,PSP,0.2646,Original paper Excel Sheet1 (2) B27:E27
15_130,GCP,0.2729,Original paper Excel Sheet1 (2) B27:E27
15_130,GDP,0.2980,Original paper Excel Sheet1 (2) B27:E27
20_130,NS-P,0.3196,Original paper Excel Sheet1 (2) V27:Y27
20_130,PSP,0.2864,Original paper Excel Sheet1 (2) V27:Y27
20_130,GCP,0.2980,Original paper Excel Sheet1 (2) V27:Y27
20_130,GDP,0.3049,Original paper Excel Sheet1 (2) V27:Y27
