Config,DataFile,Strategy,StrategyLabel,RunID,Seed,K,N2Raw,Users,Candidates,InitialCost,FinalCost,ImprovementPct,Iterations,InitialCoverage,FinalCoverage,InitialSolution,FinalSolution,FinalGapPct,JaccardToBest
10_130,data/input_data_10_130_8_new.xlsx,random,Random,0,42,10,11,130,20,9673.788193786455,2869.1770598922017,70.34070828907444,12,0.8,0.9307692307692308,0 1 2 3 7 8 10 11 16 17,1 3 4 7 8 9 12 15 17 18,11.36961133064746,0.42857142857142855
10_130,data/input_data_10_130_8_new.xlsx,random,Random,1,43,10,11,130,20,10107.370675044509,2576.2656667390575,74.51102022902992,12,0.7846153846153846,0.9384615384615385,1 4 7 9 10 11 12 14 15 19,0 1 7 8 10 14 15 17 18 19,0.0,1.0
10_130,data/input_data_10_130_8_new.xlsx,random,Random,2,44,10,11,130,20,9795.031896436545,2690.8898579626975,72.52801331926597,7,0.8,0.9384615384615385,0 3 4 5 6 13 16 17 18 19,0 1 2 4 6 7 8 10 17 19,4.449238007690689,0.5384615384615384
10_130,data/input_data_10_130_8_new.xlsx,random,Random,3,45,10,11,130,20,8761.6168863019,2576.2656667390575,70.59600185478497,9,0.8,0.9384615384615385,0 1 2 4 5 7 8 13 15 19,0 1 7 8 10 14 15 17 18 19,0.0,1.0
10_130,data/input_data_10_130_8_new.xlsx,random,Random,4,46,10,11,130,20,6247.086896088763,2869.1770598922017,54.07176004405247,7,0.8615384615384616,0.9307692307692308,0 1 2 4 7 8 9 11 12 18,1 3 4 7 8 9 12 15 17 18,11.36961133064746,0.42857142857142855
10_130,data/input_data_10_130_8_new.xlsx,random,Random,5,47,10,11,130,20,9325.579113391852,2576.2656667390575,72.3742018011573,13,0.8076923076923077,0.9384615384615385,2 4 6 8 9 10 11 12 13 14,0 1 7 8 10 14 15 17 18 19,0.0,1.0
10_130,data/input_data_10_130_8_new.xlsx,random,Random,6,48,10,11,130,20,11158.04069568331,2576.2656667390575,76.911128602213,10,0.7769230769230769,0.9384615384615385,2 4 6 9 10 11 12 14 15 17,0 1 7 8 10 14 15 17 18 19,0.0,1.0
10_130,data/input_data_10_130_8_new.xlsx,random,Random,7,49,10,11,130,20,9387.198334446235,2576.2656667390575,72.55554239985028,12,0.8,0.9384615384615385,0 2 3 8 10 11 12 13 15 17,0 1 7 8 10 14 15 17 18 19,0.0,1.0
10_130,data/input_data_10_130_8_new.xlsx,random,Random,8,50,10,11,130,20,15460.253246270797,2576.2656667390575,83.33620008869852,12,0.7076923076923077,0.9384615384615385,1 5 7 8 11 12 13 15 18 19,0 1 7 8 10 14 15 17 18 19,0.0,1.0
10_130,data/input_data_10_130_8_new.xlsx,random,Random,9,51,10,11,130,20,8520.344683525891,2690.8898579626975,68.41806337758213,5,0.8384615384615385,0.9384615384615385,3 4 5 6 7 8 13 16 17 19,0 1 2 4 6 7 8 10 17 19,4.449238007690689,0.5384615384615384
