Config,Method,BestQ,Source
10_100,NS-P,0.29099853063653863,five-method joint normalization
10_100,GCP,0.2912554812579926,five-method joint normalization
10_100,GDP,0.2687726990144507,five-method joint normalization
10_100,PSP,0.2628992592469291,five-method joint normalization
10_100,DQN,0.5592324909213776,five-method joint normalization
10_130,NS-P,0.38079844592273715,five-method joint normalization
10_130,GCP,0.3460106877058775,five-method joint normalization
10_130,GDP,0.3263379571657256,five-method joint normalization
10_130,PSP,0.31846554918811426,five-method joint normalization
10_130,DQN,0.5973779158170724,five-method joint normalization
10_150,NS-P,0.2979914791950472,five-method joint normalization
10_150,GCP,0.2755865933976346,five-method joint normalization
10_150,GDP,0.2735859188718772,five-method joint normalization
10_150,PSP,0.26766326109328575,five-method joint normalization
10_150,DQN,0.4971969240136871,five-method joint normalization
10_180,NS-P,0.28205266610301766,five-method joint normalization
10_180,GCP,0.27065663988725563,five-method joint normalization
10_180,GDP,0.2504309656116734,five-method joint normalization
10_180,PSP,0.2573646079619544,five-method joint normalization
10_180,DQN,0.4587678341338973,five-method joint normalization
5_130,NS-P,0.24805861203396756,five-method joint normalization
5_130,GCP,0.22423338920651414,five-method joint normalization
5_130,GDP,0.21741310074562914,five-method joint normalization
5_130,PSP,0.22567070736551154,five-method joint normalization
5_130,DQN,0.4750689705799169,five-method joint normalization
15_130,NS-P,0.30589591049858744,five-method joint normalization
15_130,GCP,0.26974335767784186,five-method joint normalization
15_130,GDP,0.26934812105496275,five-method joint normalization
15_130,PSP,0.2819417611913702,five-method joint normalization
15_130,DQN,0.5801188610284157,five-method joint normalization
20_130,NS-P,0.28087637618406597,five-method joint normalization
20_130,GCP,0.2569078944627678,five-method joint normalization
20_130,GDP,0.2406798595429047,five-method joint normalization
20_130,PSP,0.24880858103360481,five-method joint normalization
20_130,DQN,0.5712781152365902,five-method joint normalization
