Config,Method,BestQ,Source
10_100,NS-P,0.29747277814196915,original-four-method normalization
10_100,GCP,0.29960596525545696,original-four-method normalization
10_100,GDP,0.2748496536294173,original-four-method normalization
10_100,PSP,0.26860061176591826,original-four-method normalization
10_100,DQN,0.5770307910547086,DQN evaluated with original-four-method bounds
10_130,NS-P,0.38940614172405186,original-four-method normalization
10_130,GCP,0.35504076813212826,original-four-method normalization
10_130,GDP,0.3362910219633266,original-four-method normalization
10_130,PSP,0.3281985745086926,original-four-method normalization
10_130,DQN,0.6125035722494094,DQN evaluated with original-four-method bounds
10_150,NS-P,0.2979914791950472,original-four-method normalization
10_150,GCP,0.2755865933976346,original-four-method normalization
10_150,GDP,0.2735859188718772,original-four-method normalization
10_150,PSP,0.26766326109328575,original-four-method normalization
10_150,DQN,0.4971969240136871,DQN evaluated with original-four-method bounds
10_180,NS-P,0.29565940257213663,original-four-method normalization
10_180,GCP,0.27945864690864164,original-four-method normalization
10_180,GDP,0.2625712130557948,original-four-method normalization
10_180,PSP,0.2699414591587356,original-four-method normalization
10_180,DQN,0.48401314719438215,DQN evaluated with original-four-method bounds
5_130,NS-P,0.24805861203396756,original-four-method normalization
5_130,GCP,0.22423338920651414,original-four-method normalization
5_130,GDP,0.21741310074562914,original-four-method normalization
5_130,PSP,0.22567070736551154,original-four-method normalization
5_130,DQN,0.4750689705799169,DQN evaluated with original-four-method bounds
15_130,NS-P,0.3178541026787714,original-four-method normalization
15_130,GCP,0.2826163102027274,original-four-method normalization
15_130,GDP,0.280137206550199,original-four-method normalization
15_130,PSP,0.29428436338796815,original-four-method normalization
15_130,DQN,0.6077332731029366,DQN evaluated with original-four-method bounds
20_130,NS-P,0.32241502633957886,original-four-method normalization
20_130,GCP,0.30366279717376865,original-four-method normalization
20_130,GDP,0.28158039689987313,original-four-method normalization
20_130,PSP,0.2906741591561468,original-four-method normalization
20_130,DQN,0.707721081300196,DQN evaluated with original-four-method bounds
