Config,Method,HV,IGD,Spacing,BestQ,BestFrontQ,ParetoCount,SolutionCount,BestCostNorm,BestDelayNorm,Scenario
,NS-P,0.8190858049530542,0.07845943299876014,0.011233036471563753,0.38940614172405186,0.38940614172405186,50,50,0.01156692475120008,0.09343455008250155,Xizhimen real-data baseline
,GCP,0.8596083232861803,0.04924774922905724,0.007909548101354831,0.35504076813212826,0.35504076813212826,50,50,0.031182067340341624,0.10041595867076009,Xizhimen real-data baseline
,GDP,0.8945274818380959,0.03264358629038765,0.004473083981186269,0.3362910219633266,0.3362910219633266,50,50,0.06476404001480258,0.032001218964078086,Xizhimen real-data baseline
,PSP,0.9470099455117535,0.0016107337817284288,0.01083021880625903,0.3281985745086926,0.3281985745086926,50,50,0.0,0.0,Xizhimen real-data baseline
,NS-P,0.9662489704576722,0.0440431334999764,0.007049839097341398,0.28136145808633284,0.28136145808633284,40,40,0.022947926544005515,0.04501702574598991,sparse_suburban
,GCP,0.9496842750904054,0.03554554645658995,0.012768715321015027,0.2635527747121566,0.2635527747121566,40,40,0.06650688144048876,0.042918635224448255,sparse_suburban
,GDP,1.0141405784479725,0.00822106863190587,0.011051767554883062,0.2601824922326428,0.2601824922326428,40,40,0.0,0.006157473125805781,sparse_suburban
,PSP,0.9813812238348067,0.022190709813352177,0.01592252535696474,0.26147870550465147,0.26147870550465147,40,40,0.03442219866959543,0.0,sparse_suburban
,NS-P,0.883470711045915,0.057466683281420294,0.006639850599485623,0.302741925250713,0.302741925250713,40,40,0.13330141907706156,0.06207030370677808,uniform_large
,GCP,1.0000399165922995,0.004328063912849024,0.01037144058150123,0.2957638281357253,0.2957638281357253,40,40,0.0,0.004641448066685813,uniform_large
,GDP,0.9603235639027186,0.02258468487119562,0.009284596516307513,0.30140344355502385,0.30140344355502385,40,40,0.026387196286910563,0.0,uniform_large
,PSP,0.964619883671728,0.01743167537368355,0.009208243947049038,0.2942000950618947,0.2942000950618947,40,40,0.04419092315832969,0.008568063855403565,uniform_large
,NS-P,0.9481001519736142,0.03253860481377845,0.018615864650173525,0.3039749787812614,0.3039749787812614,40,40,0.04813908073758053,0.0018689446618492629,clustered_hotspot
,GCP,0.8797225772635544,0.07334238455195088,0.010132721431406368,0.33839180487855847,0.33839180487855847,40,40,0.12231427332646531,0.0,clustered_hotspot
,GDP,0.9951187693313587,0.007989575580736678,0.009283914683975717,0.27836416721903207,0.27836416721903207,40,40,0.0,0.026474108114219342,clustered_hotspot
,PSP,0.8852920751208848,0.07123075814877798,0.017334800356379364,0.33478478466633593,0.33478478466633593,40,40,0.06324239692923234,0.054284754970516796,clustered_hotspot
