Config,CapacityLabel,VarpiLabel,VarpiRatio,IsHalfCapacity,HV_mean,IGD_mean,BestQ_mean,MeanRank,ConfigBestByMeanRank,Runs
10_130,Vj=4,1,0.25,False,0.9341521961437841,0.033136810446400954,0.30782390118864633,3.0,False,3
10_130,Vj=4,Vj/2=2,0.5,True,0.9338513407645693,0.03618212541020029,0.3105350364187128,4.0,False,3
10_130,Vj=4,3,0.75,False,0.9488090255213746,0.028168781915739072,0.30119223697040176,1.3333333333333333,True,3
10_130,Vj=4,Vj=4,1.0,False,0.9449140245802035,0.02801408836427563,0.3044971908791915,1.6666666666666667,False,3
10_150,Vj=4,1,0.25,False,0.9149525864044782,0.040392877056546476,0.3083084876047893,3.6666666666666665,False,3
10_150,Vj=4,Vj/2=2,0.5,True,0.9382285302812524,0.03497130743473064,0.309964935206892,3.3333333333333335,False,3
10_150,Vj=4,3,0.75,False,0.9500509562200746,0.02657079320176349,0.30004457439268006,1.0,True,3
10_150,Vj=4,Vj=4,1.0,False,0.9461711749614844,0.030734264453577142,0.30574672210617115,2.0,False,3
10_180,Vj=4,1,0.25,False,0.9803912998159093,0.042962019258301586,0.25602863228087963,3.6666666666666665,False,3
10_180,Vj=4,Vj/2=2,0.5,True,0.9940794731393935,0.0357923792755756,0.25774854087038745,3.3333333333333335,False,3
10_180,Vj=4,3,0.75,False,1.0065679399442853,0.024227768265600955,0.25212132526183256,1.3333333333333333,True,3
10_180,Vj=4,Vj=4,1.0,False,0.9978910713634477,0.027468759811845402,0.2504292853649581,1.6666666666666667,False,3
15_130,Vj=4,1,0.25,False,0.9606394070080531,0.043863919775241116,0.2727968557523211,2.6666666666666665,False,3
15_130,Vj=4,Vj/2=2,0.5,True,0.9640757222139432,0.05101280110684798,0.2769069807581826,3.3333333333333335,False,3
15_130,Vj=4,3,0.75,False,0.9771447015549821,0.04276456117675914,0.27716083154221477,2.0,True,3
15_130,Vj=4,Vj=4,1.0,False,0.9756077149074857,0.043717286395668464,0.2761178758348603,2.0,True,3
20_130,Vj=4,1,0.25,False,0.9514378844494659,0.029352720817396608,0.2864347345644842,2.0,False,3
20_130,Vj=4,Vj/2=2,0.5,True,0.9640015854982075,0.025683499285851785,0.28516493049326597,1.0,True,3
20_130,Vj=4,3,0.75,False,0.9401347888268011,0.03413269229660603,0.2889616051341963,3.6666666666666665,False,3
20_130,Vj=4,Vj=4,1.0,False,0.943629812899962,0.03281176780801403,0.29069123217686843,3.3333333333333335,False,3
5_130,Vj=4,1,0.25,False,1.02651968353463,0.03763175378256675,0.2248852595070121,2.3333333333333335,False,3
5_130,Vj=4,Vj/2=2,0.5,True,1.0362299325456097,0.038914047625468705,0.22036870863000105,2.0,True,3
5_130,Vj=4,3,0.75,False,1.0241329485909718,0.038901195416260186,0.24716124738893366,3.6666666666666665,False,3
5_130,Vj=4,Vj=4,1.0,False,1.030349539515007,0.03593028657397907,0.22796856451164857,2.0,True,3
10_130,Vj=8,1,0.125,False,0.9828663213719162,0.03208686334356808,0.25852827616970436,2.0,False,3
10_130,Vj=8,3,0.375,False,0.9744339463675254,0.027077199079146103,0.24101293634038967,1.3333333333333333,True,3
10_130,Vj=8,Vj/2=4,0.5,True,0.9205792230485068,0.04865618929279534,0.26526211323437177,4.0,False,3
10_130,Vj=8,Vj=8,1.0,False,0.9452804110588279,0.03825952328101022,0.2569528469318227,2.6666666666666665,False,3
10_150,Vj=8,1,0.125,False,0.8413895803994066,0.05778859322917596,0.3197035906674382,3.6666666666666665,False,3
10_150,Vj=8,3,0.375,False,0.9068632500104788,0.0345169432638004,0.3070407247749505,2.0,False,3
10_150,Vj=8,Vj/2=4,0.5,True,0.9405684173389979,0.01954100503572539,0.3018297500593645,1.0,True,3
10_150,Vj=8,Vj=8,1.0,False,0.8642313460085206,0.049920210903599084,0.3282916036965308,3.3333333333333335,False,3
10_180,Vj=8,1,0.125,False,0.9315548535621924,0.02891300791037039,0.288603694874331,2.0,False,3
10_180,Vj=8,3,0.375,False,0.8976128685990025,0.037667280045878104,0.2887792502284296,3.6666666666666665,False,3
10_180,Vj=8,Vj/2=4,0.5,True,0.9191346167725424,0.033237717601326176,0.291022635732549,3.3333333333333335,False,3
10_180,Vj=8,Vj=8,1.0,False,0.9726053850417532,0.019799040362738444,0.27912783430819804,1.0,True,3
15_130,Vj=8,1,0.125,False,0.8467966091016375,0.11104629025893997,0.3236604110283932,3.3333333333333335,False,3
15_130,Vj=8,3,0.375,False,0.8426132867985733,0.110719168535294,0.329386205799111,3.6666666666666665,False,3
15_130,Vj=8,Vj/2=4,0.5,True,0.866739079146044,0.09428506397022918,0.3109477204105298,2.0,False,3
15_130,Vj=8,Vj=8,1.0,False,0.9523985837048231,0.05453442762565203,0.2570298460253661,1.0,True,3
20_130,Vj=8,1,0.125,False,0.8892881119367079,0.0848433147577331,0.30463044261385797,1.0,True,3
20_130,Vj=8,3,0.375,False,0.8892881119367079,0.0848433147577331,0.30463044261385797,1.0,True,3
20_130,Vj=8,Vj/2=4,0.5,True,0.8892881119367079,0.0848433147577331,0.30463044261385797,1.0,True,3
20_130,Vj=8,Vj=8,1.0,False,0.8892881119367079,0.0848433147577331,0.30463044261385797,1.0,True,3
5_130,Vj=8,1,0.125,False,0.9129019027712486,0.0,0.2780038950271619,1.0,True,3
5_130,Vj=8,3,0.375,False,0.9111993243292137,0.007898321854751157,0.2780038950271619,2.3333333333333335,False,3
5_130,Vj=8,Vj/2=4,0.5,True,0.9111993243292137,0.007898321854751157,0.2780038950271619,2.3333333333333335,False,3
5_130,Vj=8,Vj=8,1.0,False,0.9129019027712486,0.0,0.2780038950271619,1.0,True,3
