Series,Capacity,CapacityLabel,Varpi,VarpiLabel,IsHalfCapacity,MeanRank,RankStd,ConfigCount
All,4,Vj=4,1,1,False,2.888888888888889,0.6885303726590962,6
All,4,Vj=4,2,Vj/2=2,True,2.8333333333333335,1.1105554165971787,6
All,4,Vj=4,3,3,False,2.1666666666666665,1.206464071390257,6
All,4,Vj=4,4,Vj=4,False,2.111111111111111,0.6206328908341752,6
K=10,4,Vj=4,1,1,False,3.444444444444444,0.3849001794597504,3
K=10,4,Vj=4,2,Vj/2=2,True,3.555555555555556,0.3849001794597504,3
K=10,4,Vj=4,3,3,False,1.222222222222222,0.1924500897298752,3
K=10,4,Vj=4,4,Vj=4,False,1.777777777777778,0.1924500897298752,3
M=130,4,Vj=4,1,1,False,2.5,0.4303314829119351,4
M=130,4,Vj=4,2,Vj/2=2,True,2.5833333333333335,1.3437096247164249,4
M=130,4,Vj=4,3,3,False,2.6666666666666665,1.1863420280034789,4
M=130,4,Vj=4,4,Vj=4,False,2.25,0.7391185942027818,4
All,8,Vj=8,1,1,False,2.1666666666666665,1.130388330520878,6
All,8,Vj=8,3,3,False,2.3333333333333335,1.1352924243950933,6
All,8,Vj=8,4,Vj/2=4,True,2.277777777777778,1.2186817407285568,6
All,8,Vj=8,8,Vj=8,False,1.6666666666666667,1.0540925533894598,6
K=10,8,Vj=8,1,1,False,2.5555555555555554,0.9622504486493763,3
K=10,8,Vj=8,3,3,False,2.3333333333333335,1.201850425154663,3
K=10,8,Vj=8,4,Vj/2=4,True,2.777777777777778,1.575271875417536,3
K=10,8,Vj=8,8,Vj=8,False,2.3333333333333335,1.2018504251546631,3
M=130,8,Vj=8,1,1,False,1.8333333333333335,1.1055415967851334,4
M=130,8,Vj=8,3,3,False,2.0833333333333335,1.1979921473804347,4
M=130,8,Vj=8,4,Vj/2=4,True,2.3333333333333335,1.247219128924647,4
M=130,8,Vj=8,8,Vj=8,False,1.4166666666666665,0.8333333333333333,4
