Series,Varpi,VarpiLabel,MeanRank,RankStd,ConfigCount
All,1,1,2.888888888888889,0.6885303726590963,6
All,2,2,2.8333333333333335,1.1105554165971787,6
All,3,3,2.1666666666666665,1.206464071390257,6
All,4,Vj=4,2.111111111111111,0.620632890834175,6
K=10,1,1,3.444444444444444,0.3849001794597504,3
K=10,2,2,3.5555555555555554,0.3849001794597507,3
K=10,3,3,1.222222222222222,0.1924500897298752,3
K=10,4,Vj=4,1.777777777777778,0.1924500897298752,3
M=130,1,1,2.5,0.43033148291193524,4
M=130,2,2,2.583333333333333,1.3437096247164249,4
M=130,3,3,2.6666666666666665,1.1863420280034789,4
M=130,4,Vj=4,2.25,0.7391185942027816,4
