Config,Scenario,CenterLng,CenterLat,StationRadiusKm,StationWidthKm,StationHeightKm,StationNNMeanKm,StationDensityPerKm2,BBoxWidthKm,BBoxHeightKm,UserNNMeanKm,StationCoverageDensityMean,StationCoverageDensityCV,ServiceEntropy,CLSCost,CLSAdvantagePct
real_sparse_r00_c40_u130_k10_s0,sparse,116.0320816,39.99288177,11.83801403780736,10.93366501416982,10.083063656339474,0.5176285194941266,0.090855749916461,13.30466348063522,12.4012797735781,0.5230890245910115,21.8,0.5409344226975388,2.064999468748081,23479.462593004788,26.62938774473914
real_sparse_r00_c40_u130_k10_s1,sparse,116.0320816,39.99288177,11.83801403780736,10.93366501416982,10.083063656339474,0.5176285194941266,0.090855749916461,14.364054232138262,12.575255369725685,0.5631263573532767,18.4,0.49688895086286944,2.0225032377631207,30825.073288779735,28.286412279112888
real_clustered_r00_c40_u130_k10_s0,clustered,116.0320816,39.99288177,11.83801403780736,10.93366501416982,10.083063656339474,0.5176285194941266,0.090855749916461,11.55637940518858,11.1548720636398,0.3658474457887558,34.85,0.5343076123506448,1.8742950789197061,7859.988270256739,34.81812544080474
real_clustered_r00_c40_u130_k10_s1,clustered,116.0320816,39.99288177,11.83801403780736,10.93366501416982,10.083063656339474,0.5176285194941266,0.090855749916461,11.654677553411753,10.48621519516104,0.34384940965383465,36.65,0.5715094944778168,1.917725407790459,5365.489800106285,55.568493345526356
real_skewed_r00_c40_u130_k10_s0,skewed,116.0320816,39.99288177,11.83801403780736,10.93366501416982,10.083063656339474,0.5176285194941266,0.090855749916461,12.630133812372115,11.077198108048028,0.3636421545942157,38.25,0.6000768885759548,1.6762799139541187,4924.367080066736,51.543432634056714
real_skewed_r00_c40_u130_k10_s1,skewed,116.0320816,39.99288177,11.83801403780736,10.93366501416982,10.083063656339474,0.5176285194941266,0.090855749916461,12.773594207150246,11.767486821982072,0.33405470331659626,35.825,0.5135959637881286,1.8473841473054615,5539.987184105958,52.47027762115935
real_sparse_r01_c40_u130_k10_s0,sparse,116.03500366,40.03976059,8.87945114879798,9.014976997519998,11.92668221180183,0.5172148634656655,0.16148711435345672,10.72861350966641,14.551257574900914,0.45881562605500076,22.65,0.5562344481876532,2.0602366180219804,29117.80731954899,12.499469019418383
real_sparse_r01_c40_u130_k10_s1,sparse,116.03500366,40.03976059,8.87945114879798,9.014976997519998,11.92668221180183,0.5172148634656655,0.16148711435345672,10.633921754321895,14.651366563077726,0.527403732796855,19.25,0.43022114597132927,2.056047039770204,29578.173260386677,19.803973363793983
real_clustered_r01_c40_u130_k10_s0,clustered,116.03500366,40.03976059,8.87945114879798,9.014976997519998,11.92668221180183,0.5172148634656655,0.16148711435345672,10.36861712840509,13.106618508638489,0.3580580928992819,38.1,0.663133631197935,1.9475254658784567,10098.760990664701,22.424074767519205
real_clustered_r01_c40_u130_k10_s1,clustered,116.03500366,40.03976059,8.87945114879798,9.014976997519998,11.92668221180183,0.5172148634656655,0.16148711435345672,9.911492811862507,14.158449615698228,0.3393484045323702,34.6,0.5645019940203625,1.8837402432922454,6646.490628933321,43.632059254494784
real_skewed_r01_c40_u130_k10_s0,skewed,116.03500366,40.03976059,8.87945114879798,9.014976997519998,11.92668221180183,0.5172148634656655,0.16148711435345672,10.46443066826279,13.485651881340953,0.3213096334938134,37.525,0.6370421671057453,1.8079364423820743,6691.646511451501,18.57888938247308
real_skewed_r01_c40_u130_k10_s1,skewed,116.03500366,40.03976059,8.87945114879798,9.014976997519998,11.92668221180183,0.5172148634656655,0.16148711435345672,9.83416724764195,13.028161100089678,0.3185112707005471,40.8,0.6643965458131368,1.6382466336037176,5164.588979436904,45.29944578041244
real_sparse_r02_c40_u130_k10_s0,sparse,116.36294556,40.11840057,7.94656712377983,4.491206560919482,7.515108005323242,0.3056571376316166,0.20162807614352765,6.25897681903335,9.348679289376106,0.30651248099374884,36.7,0.2897266376244106,2.0526849057708905,19767.487972666724,7.4124704953084795
real_sparse_r02_c40_u130_k10_s1,sparse,116.36294556,40.11840057,7.94656712377983,4.491206560919482,7.515108005323242,0.3056571376316166,0.20162807614352765,5.808661849583453,11.433976527275838,0.3250502225526046,35.275,0.28120895566319504,2.0635730381183253,15212.515194213049,5.593816382388722
real_clustered_r02_c40_u130_k10_s0,clustered,116.36294556,40.11840057,7.94656712377983,4.491206560919482,7.515108005323242,0.3056571376316166,0.20162807614352765,6.41727254671966,8.573369330886111,0.24122892755967715,55.525,0.2950269753394061,1.8832660968509405,6802.22832966396,11.09525799736941
