Config,DataFile,Users,Candidates,TargetServers,ResolvedK,SigmaMin,N2Adjust,N2Raw,CLSCost,RandomMeanCost,RandomBestCost,DensityCost,DistSumCost,GreedyCost,DiverseInitCost,BestBaselineCost,CLSAdvantagePct,SelectedSolution
real_sparse_r00_c40_u130_k10_s0,data\real_region\input_data_real_sparse_r00_c40_u130_k10_s0_8.xlsx,130,40,10,10,34,1,9,23479.462593004788,55904.07816110779,32001.18122405507,96363.29922074698,88311.39554705836,88289.46489516788,96359.68333939316,32001.18122405507,26.62938774473914,1 2 3 4 6 11 27 28 32 34
real_sparse_r00_c40_u130_k10_s1,data\real_region\input_data_real_sparse_r00_c40_u130_k10_s1_8.xlsx,130,40,10,10,27,1,9,30825.073288779735,60121.447998730044,42983.588282812554,95347.04840870592,90473.58626521191,92443.4871526148,95396.94345558109,42983.588282812554,28.286412279112888,1 2 3 4 6 11 27 30 34 39
real_clustered_r00_c40_u130_k10_s0,data\real_region\input_data_real_clustered_r00_c40_u130_k10_s0_8.xlsx,130,40,10,10,53,-1,11,7859.988270256739,30224.474342418034,12058.548980696543,67488.08238000606,60671.526388044804,61963.594632135,67408.63198425216,12058.548980696543,34.81812544080474,1 2 3 5 6 10 11 21 32 36
real_clustered_r00_c40_u130_k10_s1,data\real_region\input_data_real_clustered_r00_c40_u130_k10_s1_8.xlsx,130,40,10,10,58,-2,12,5365.489800106285,22308.02541685787,12075.867338534319,54678.53272871663,46714.497004036384,51093.15409096188,54675.579039796576,12075.867338534319,55.568493345526356,1 2 3 6 7 10 11 23 28 31
real_skewed_r00_c40_u130_k10_s0,data\real_region\input_data_real_skewed_r00_c40_u130_k10_s0_8.xlsx,130,40,10,10,62,2,8,4924.367080066736,22085.799242483867,10162.434831336665,50534.86208672899,52278.74200669049,51615.17907970359,50534.86208672898,10162.434831336665,51.543432634056714,1 2 3 5 6 13 18 34 36 39
real_skewed_r00_c40_u130_k10_s1,data\real_region\input_data_real_skewed_r00_c40_u130_k10_s1_8.xlsx,130,40,10,10,53,-2,12,5539.987184105958,24244.94285013456,11655.837456715835,59047.459104519265,51568.94580403251,51568.94580403251,51612.70897496852,11655.837456715835,52.47027762115935,0 2 3 4 6 10 11 18 23 39
real_sparse_r01_c40_u130_k10_s0,data\real_region\input_data_real_sparse_r01_c40_u130_k10_s0_8.xlsx,130,40,10,10,34,1,9,29117.80731954899,49738.07784178399,33277.29214124529,81140.05574763392,76590.33241522254,76435.12476276433,81140.05574763392,33277.29214124529,12.499469019418383,0 2 3 4 6 9 26 33 37 38
real_sparse_r01_c40_u130_k10_s1,data\real_region\input_data_real_sparse_r01_c40_u130_k10_s1_8.xlsx,130,40,10,10,26,-1,11,29578.173260386677,53633.56387519325,36882.342556149844,84447.45806279343,69803.28328442291,67688.01431118464,84447.45806279342,36882.342556149844,19.803973363793983,0 1 2 3 6 7 26 32 37 39
real_clustered_r01_c40_u130_k10_s0,data\real_region\input_data_real_clustered_r01_c40_u130_k10_s0_8.xlsx,130,40,10,10,63,-1,11,10098.760990664701,26861.131782078897,13017.905955231046,59025.56620259099,53862.384925174876,53862.384925174876,59025.566202590984,13017.905955231046,22.424074767519205,0 1 2 3 4 6 12 19 29 38
real_clustered_r01_c40_u130_k10_s1,data\real_region\input_data_real_clustered_r01_c40_u130_k10_s1_8.xlsx,130,40,10,10,54,-1,11,6646.490628933321,27954.23064312836,11791.260317529539,56265.0656723046,53208.968677751196,53208.968677751196,56265.06567230457,11791.260317529539,43.632059254494784,0 2 3 4 6 9 26 35 37 39
real_skewed_r01_c40_u130_k10_s0,data\real_region\input_data_real_skewed_r01_c40_u130_k10_s0_8.xlsx,130,40,10,10,60,-3,13,6691.646511451501,25307.100239033076,8218.56452300841,57752.26144350079,58757.67710428641,55557.546525102945,57718.802347684556,8218.56452300841,18.57888938247308,0 2 3 4 6 9 23 33 35 39
real_skewed_r01_c40_u130_k10_s1,data\real_region\input_data_real_skewed_r01_c40_u130_k10_s1_8.xlsx,130,40,10,10,67,-1,11,5164.588979436904,23443.997395136255,9441.566092190584,49973.80909758038,49383.12104305487,49383.12104305487,49972.50427858098,9441.566092190584,45.29944578041244,0 2 3 4 6 10 12 17 36 37
real_sparse_r02_c40_u130_k10_s0,data\real_region\input_data_real_sparse_r02_c40_u130_k10_s0_8.xlsx,130,40,10,10,46,0,10,19767.487972666724,36073.546535765956,21350.054460266252,44961.87430064675,44961.87430064675,44961.87430064675,44961.87430064675,21350.054460266252,7.4124704953084795,0 1 5 16 22 29 31 32 35 37
