Scenario,Method,Seeds,HVMean,HVStd,IGDMean,IGDStd,BestQMean,BestQStd
clustered,NS-P,3,0.9708,0.01625299972312801,0.0345,0.014729901561110313,0.26896666666666663,0.009700687260876603
clustered,GCP,3,1.0103666666666666,0.019154720915046868,0.0086,0.006077005841695399,0.2558333333333333,0.011673188653205827
clustered,GDP,3,0.9583666666666666,0.038996709262876635,0.03273333333333333,0.021286693809357368,0.2666,0.007847929663293373
clustered,PSP,3,0.952,0.03980263810352274,0.043166666666666666,0.023991734687873932,0.26306666666666667,0.007050059101407127
skewed,NS-P,3,0.9886,0.06381402667125777,0.055,0.010828203913853859,0.22643333333333335,0.035532848652104064
skewed,GCP,3,1.0668666666666666,0.029269836578521127,0.007833333333333333,0.003426854728950927,0.20893333333333333,0.03598726626646338
skewed,GDP,3,1.0523,0.039196811094781646,0.021533333333333335,0.01419941313341271,0.21396666666666667,0.0355038495565387
skewed,PSP,3,1.0202666666666669,0.05776965754903987,0.04176666666666667,0.01626478814289732,0.21846666666666667,0.037654260493778575
sparse,NS-P,3,0.9610333333333333,0.054452762403144665,0.046066666666666665,0.02413386279345545,0.25343333333333334,0.02157367222642758
sparse,GCP,3,0.9533333333333335,0.011599281586948977,0.06236666666666666,0.0269386958357923,0.2658333333333333,0.01703652938052036
sparse,GDP,3,0.9780666666666668,0.025272580662317246,0.03966666666666667,0.008348253310323864,0.24213333333333334,0.019560248805506886
sparse,PSP,3,0.9480666666666666,0.023419934528801156,0.05346666666666666,0.005150080905513361,0.2581,0.018919830866051635
