Config,Scenario,Seed,Method,HV,IGD,Spacing,BestQ,BestFrontQ,ParetoCount,SolutionCount,BestCostNorm,BestDelayNorm
real_review6_large_c40_u130_k10_clustered_r00_c40_u130_k10_s0,clustered,42,NS-P,0.9584,0.0473,0.012,0.2592,0.2592,50,50,0.0794,0.0341
real_review6_large_c40_u130_k10_clustered_r00_c40_u130_k10_s0,clustered,42,GCP,1.026,0.0018,0.0081,0.2496,0.2496,50,50,0.0,0.0
real_review6_large_c40_u130_k10_clustered_r00_c40_u130_k10_s0,clustered,42,GDP,0.9241,0.0504,0.0113,0.2676,0.2676,50,50,0.1189,0.0478
real_review6_large_c40_u130_k10_clustered_r00_c40_u130_k10_s0,clustered,42,PSP,0.908,0.0663,0.0106,0.2587,0.2587,50,50,0.162,0.0535
real_review6_large_c40_u130_k10_clustered_r00_c40_u130_k10_s0,clustered,43,NS-P,0.9648,0.0378,0.0087,0.2691,0.2691,50,50,0.0,0.0717
real_review6_large_c40_u130_k10_clustered_r00_c40_u130_k10_s0,clustered,43,GCP,1.0161,0.0105,0.0098,0.2486,0.2486,50,50,0.0434,0.0
real_review6_large_c40_u130_k10_clustered_r00_c40_u130_k10_s0,clustered,43,GDP,0.9502,0.0387,0.0082,0.2583,0.2583,50,50,0.0963,0.0289
real_review6_large_c40_u130_k10_clustered_r00_c40_u130_k10_s0,clustered,43,PSP,0.9625,0.0448,0.0109,0.2593,0.2593,50,50,0.0996,0.0209
real_review6_large_c40_u130_k10_clustered_r00_c40_u130_k10_s0,clustered,44,NS-P,0.9892,0.0184,0.0089,0.2786,0.2786,50,50,0.0141,0.0068
real_review6_large_c40_u130_k10_clustered_r00_c40_u130_k10_s0,clustered,44,GCP,0.989,0.0135,0.0146,0.2693,0.2693,50,50,0.0214,0.0363
real_review6_large_c40_u130_k10_clustered_r00_c40_u130_k10_s0,clustered,44,GDP,1.0008,0.0091,0.0069,0.2739,0.2739,50,50,0.0,0.0
real_review6_large_c40_u130_k10_clustered_r00_c40_u130_k10_s0,clustered,44,PSP,0.9855,0.0184,0.0097,0.2712,0.2712,50,50,0.0245,0.0175
real_review6_large_c40_u130_k10_skewed_r00_c40_u130_k10_s0,skewed,42,NS-P,0.9919,0.0485,0.0127,0.2136,0.2136,50,50,0.0127,0.0892
real_review6_large_c40_u130_k10_skewed_r00_c40_u130_k10_s0,skewed,42,GCP,1.0692,0.0116,0.0129,0.2186,0.2186,50,50,0.0003,0.0
real_review6_large_c40_u130_k10_skewed_r00_c40_u130_k10_s0,skewed,42,GDP,1.0685,0.0125,0.0063,0.2016,0.2016,50,50,0.0107,0.0103
real_review6_large_c40_u130_k10_skewed_r00_c40_u130_k10_s0,skewed,42,PSP,1.0516,0.0232,0.0138,0.2208,0.2208,50,50,0.0,0.0266
real_review6_large_c40_u130_k10_skewed_r00_c40_u130_k10_s0,skewed,43,NS-P,1.0507,0.049,0.0089,0.1991,0.1991,50,50,0.0139,0.0376
real_review6_large_c40_u130_k10_skewed_r00_c40_u130_k10_s0,skewed,43,GCP,1.0949,0.007,0.0541,0.1691,0.1691,50,50,0.0,0.0
real_review6_large_c40_u130_k10_skewed_r00_c40_u130_k10_s0,skewed,43,GDP,1.0808,0.0142,0.0116,0.1863,0.1863,50,50,0.007,0.0068
real_review6_large_c40_u130_k10_skewed_r00_c40_u130_k10_s0,skewed,43,PSP,1.0556,0.0535,0.0053,0.1797,0.1797,50,50,0.0499,0.0272
real_review6_large_c40_u130_k10_skewed_r00_c40_u130_k10_s0,skewed,44,NS-P,0.9232,0.0675,0.0067,0.2666,0.2666,50,50,0.0511,0.1311
real_review6_large_c40_u130_k10_skewed_r00_c40_u130_k10_s0,skewed,44,GCP,1.0365,0.0049,0.006,0.2391,0.2391,50,50,0.0,0.0
real_review6_large_c40_u130_k10_skewed_r00_c40_u130_k10_s0,skewed,44,GDP,1.0076,0.0379,0.0089,0.254,0.254,50,50,0.0315,0.0413
real_review6_large_c40_u130_k10_skewed_r00_c40_u130_k10_s0,skewed,44,PSP,0.9536,0.0486,0.012,0.2549,0.2549,50,50,0.084,0.0429
real_review6_large_c40_u130_k10_sparse_r00_c40_u130_k10_s0,sparse,42,NS-P,0.9108,0.0579,0.0089,0.2744,0.2744,50,50,0.0,0.1547
real_review6_large_c40_u130_k10_sparse_r00_c40_u130_k10_s0,sparse,42,GCP,0.9424,0.0327,0.0062,0.2804,0.2804,50,50,0.0535,0.0291
